SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0032247,31,99999,31-99999,31,420,31-420,4245,1,22,05,8994,25335,27,28,N,N,N,N,30.2
0032248,06,348,06-348,06,348,06-348,339,4,40,05,2338,55,6,6,N,N,N,N,209.3
0032249,36,464,36-464,37,172,37-172,336,1,35,14,605,24,549,714,N,N,N,N,819.0
0032250,06,348,06-348,06,348,06-348,4237,4,40,05,57139,11654,33,45,N,Y,O,N,73.6
0032251,34,408,34-408,02,99999,02-99999,332,3,33,11,3819,14,3338,3454,N,N,N,N,113.1
0032252,40,538,40-538,06,348,06-348,336,3,37,14,964,31,1284,1727,N,Y,O,N,224.8
0032253,01,99999,01-99999,47,368,47-368,335,1,32,04,25065,6020,170,193,N,N,N,N,292.7
0032254,42,428,42-428,42,99999,42-99999,326,3,24,04,79459,48914,66,78,N,N,N,N,11.6
0032255,39,99999,39-99999,39,99999,39-99999,4247,2,17,04,28952,58315,14,16,N,N,N,P,383.9
0032256,18,176,18-176,18,176,18-176,4236,3,34,05,310,5,4,4,N,N,N,N,374.7
0032257,21,99999,21-99999,18,99999,18-99999,336,2,36,05,564,99,137,184,N,N,N,N,15795.4
0032258,01,142,01-142,06,348,06-348,4243,1,30,14,31,6,1802,2086,N,N,N,N,1268.1
0032259,36,408,36-408,36,408,36-408,322,4,28,04,10321,11187,5,6,N,N,N,N,58.8
0032260,48,288,48-288,48,288,48-288,45431,2,19,05,128,542,13,13,N,N,N,H,104.1
0032261,06,488,06-488,06,348,06-348,4237,3,33,04,418,296,327,348,N,N,N,N,114.3
0032262,17,476,17-476,48,99999,48-99999,323,3,29,14,153,14,590,775,N,N,N,N,109.2
0032263,51,99999,51-99999,51,545,51-545,4237,3,33,14,217,137,198,256,N,N,N,N,300.2
0032264,06,488,06-488,06,488,06-488,4238,2,31,05,226,868,5,5,N,N,N,N,274.6
0032265,34,408,34-408,17,176,17-176,325,1,23,14,585,66,750,841,N,N,N,N,448.3
0032266,19,99999,19-99999,39,198,39-198,333,1,34,04,2239,331,568,696,N,N,N,N,972.4
0032267,46,99999,46-99999,08,216,08-216,311,4,05,04,5787,6564,500,714,Y,N,N,N,250.1
0032268,34,408,34-408,17,176,17-176,4243,1,30,14,226,4,742,812,N,N,N,N,398.6
0032269,05,99999,05-99999,40,538,40-538,4233,4,26,04,8055,45586,210,242,N,N,N,N,137.6
0032270,26,220,26-220,26,220,26-220,4238,2,40,14,118,1,28,36,N,N,N,N,1446.7
0032271,02,99999,02-99999,02,99999,02-99999,4236,4,35,05,1270,101,2,3,N,N,N,N,155.8
0032272,48,288,48-288,42,99999,42-99999,326,3,24,04,88602,31656,1270,1470,N,N,N,N,17.1
0032273,55,376,55-376,55,376,55-376,4237,4,33,05,47,2,28,32,N,N,N,N,15016.9
0032274,01,99999,01-99999,45,273,45-273,315,2,30,05,88238,25651,219,276,N,N,N,N,19.6
0032275,53,500,53-500,53,500,53-500,212,1,12,04,87,28907,18,18,N,N,N,N,299.9
0032276,42,408,42-408,42,408,42-408,332,3,32,05,9042,5425,11,16,N,N,N,N,28.1
0032277,12,422,12-422,48,13140,48-13140,325,4,23,04,172,72,765,883,N,Y,O,N,504.0
0032278,50,99999,50-99999,33,99999,33-99999,4249,2,22,05,1113,2604,23,33,N,N,N,N,824.7
0032279,42,428,42-428,42,99999,42-99999,339,1,30,14,1805,71,266,491,N,N,N,N,440.3
0032280,01,142,01-142,01,99999,01-99999,327,1,31,04,1890,41557,103,121,N,N,N,H,114.7
0032281,48,99999,48-99999,48,206,48-206,332,1,33,04,39896,17918,134,145,N,N,N,N,130.2
0032282,44,148,44-148,25,148,25-148,4244,4,05,05,1769,481,67,80,Y,N,N,N,79.6
0032283,37,99999,37-99999,27,378,27-378,315,4,30,04,225,13,849,1132,N,N,N,N,189.4
0032284,40,538,40-538,40,99999,40-99999,324,3,19,05,14081,55294,64,84,N,N,N,N,485.5
0032285,37,172,37-172,45,273,45-273,4237,1,33,04,3981,2443,97,109,N,N,N,N,33.9
0032286,51,40060,51-40060,51,40060,51-40060,327,4,31,05,877,43832,7,9,N,N,N,N,388.7
0032287,55,99999,55-99999,48,206,48-206,311,2,07,04,58187,38792,826,1096,Y,N,N,N,213.6
0032288,24,12580,24-12580,48,206,48-206,334,2,35,14,1854,16,1259,1279,N,N,N,N,396.2
0032289,39,184,39-184,39,184,39-184,551114,4,43,05,36832,4376,24,29,N,N,N,N,39.2
0032290,18,258,18-258,18,258,18-258,322,1,26,05,129,235,4,6,N,N,N,N,61.2
0032291,26,266,26-266,26,266,26-266,4249,3,43,05,5121,211,27,37,N,N,N,N,3840.5
0032292,37,172,37-172,37,268,37-268,4248,4,08,05,80,100,74,89,Y,N,N,N,3579.0
0032293,28,99999,28-99999,28,99999,28-99999,4243,1,30,05,12749,8771,145,176,N,N,N,N,345.1
0032294,36,104,36-104,36,104,36-104,4247,4,18,05,5790,12750,4,4,N,N,N,P,4278.7
0032295,17,476,17-476,17,476,17-476,327,1,31,05,1876,17656,28,38,N,N,N,N,11.8
0032296,26,266,26-266,50,99999,50-99999,4541,4,38,14,18,1,657,840,N,N,N,N,929.9
0032297,26,266,26-266,34,408,34-408,337,1,33,04,21587,2548,642,783,N,N,N,N,606.3
0032298,26,99999,26-99999,26,266,26-266,331,2,32,04,13644,9369,156,187,N,N,N,N,1035.9
0032299,21,350,21-350,21,350,21-350,45431,2,19,05,130,335,19,29,N,N,N,H,255.0
0032300,47,368,47-368,01,99999,01-99999,4231,1,24,14,81,35,189,222,N,N,N,N,8979.1
0032301,26,220,26-220,48,99999,48-99999,323,1,29,04,5053,1620,1064,1343,N,N,N,N,56.1
0032302,06,99999,06-99999,06,488,06-488,316,1,40,04,42725,3092,94,121,N,N,N,N,22.6
0032303,17,99999,17-99999,42,428,42-428,323,1,30,14,543,23,741,851,N,N,N,N,206.7
0032304,19,99999,19-99999,27,378,27-378,4235,4,33,04,1106,427,257,382,N,N,N,N,96.6
0032305,18,176,18-176,06,488,06-488,336,4,36,14,186,7,1854,2154,N,N,N,N,60.7
0032306,27,378,27-378,17,176,17-176,334,2,38,14,1005,15,332,394,N,N,N,N,1021.2
0032307,10,99999,10-99999,42,99999,42-99999,334,3,38,14,309,1,113,137,N,N,N,N,23.7
0032308,18,99999,18-99999,18,294,18-294,4238,4,34,04,422,66,89,105,N,N,N,N,4970.0
0032309,26,220,26-220,42,430,42-430,323,1,30,14,127,33,236,289,N,N,N,N,17675.4
